,tags,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,link,title
10,"['python', 'iteration']",True,742137,1207461.0,25,933,2021-03-20,2009-07-30,1207406,https://stackoverflow.com/questions/1207406/how-to-remove-items-from-a-list-while-iterating,How to remove items from a list while iterating?
11,"['python', 'python-3.x', 'python-2.7', 'input', 'int']",True,1012164,20449433.0,10,260,2022-03-18,2013-12-08,20449427,https://stackoverflow.com/questions/20449427/how-can-i-read-inputs-as-numbers,How can I read inputs as numbers?
12,"['python', 'list', 'multidimensional-array', 'flatten']",True,3354558,952952.0,28,4597,2022-04-17,2009-06-04,952914,https://stackoverflow.com/questions/952914/how-to-make-a-flat-list-out-of-a-list-of-lists,How to make a flat list out of a list of lists?
13,"['python', 'list', 'split', 'chunks']",True,1383571,312464.0,70,2828,2022-04-01,2008-11-23,312443,https://stackoverflow.com/questions/312443/how-do-you-split-a-list-into-evenly-sized-chunks,How do you split a list into evenly sized chunks?
14,"['python', 'reference', 'parameter-passing', 'pass-by-reference']",True,1746176,986145.0,36,3075,2022-04-01,2009-06-12,986006,https://stackoverflow.com/questions/986006/how-do-i-pass-a-variable-by-reference,How do I pass a variable by reference?
15,"['python', 'syntax', 'parameter-passing', 'variadic-functions', 'argument-unpacking']",True,1060958,36908.0,23,2971,2022-04-01,2008-08-31,36901,https://stackoverflow.com/questions/36901/what-does-double-star-asterisk-and-star-asterisk-do-for-parameters,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?
16,"['python', 'pandas', 'dataframe', 'chained-assignment']",True,1458086,20627316.0,20,1118,2022-02-12,2013-12-17,20625582,https://stackoverflow.com/questions/20625582/how-to-deal-with-settingwithcopywarning-in-pandas,How to deal with SettingWithCopyWarning in Pandas
17,"['python', 'global-variables', 'scope']",True,3687045,423596.0,24,3640,2022-04-15,2009-01-08,423379,https://stackoverflow.com/questions/423379/using-global-variables-in-a-function,Using global variables in a function
18,"['python', 'namespaces', 'main', 'python-module', 'idioms']",True,4004143,419185.0,40,7444,2022-03-30,2009-01-07,419163,https://stackoverflow.com/questions/419163/what-does-if-name-main-do,"What does if __name__ == ""__main__"": do?"
19,"['python', 'scope', 'dynamic-languages']",True,254244,292502.0,9,507,2020-07-07,2008-11-15,291978,https://stackoverflow.com/questions/291978/short-description-of-the-scoping-rules,Short description of the scoping rules?
20,"['python', 'tkinter']",True,36783,,5,94,2021-12-19,2011-04-24,5767228,https://stackoverflow.com/questions/5767228/why-is-the-command-bound-to-a-button-or-event-executed-when-declared,Why is the command bound to a Button or event executed when declared?
21,"['python', 'selenium', 'selenium-webdriver', 'webdriverwait', 'expected-condition']",True,103555,,4,65,2021-11-02,2019-12-02,59130200,https://stackoverflow.com/questions/59130200/selenium-wait-until-element-is-present-visible-and-interactable,"Selenium - wait until element is present, visible and interactable"
22,"['python', 'pandas', 'dataframe']",True,4856372,17071908.0,14,2989,2022-04-23,2013-06-12,17071871,https://stackoverflow.com/questions/17071871/how-do-i-select-rows-from-a-dataframe-based-on-column-values,How do I select rows from a DataFrame based on column values?
23,"['python', 'boolean', 'boolean-expression']",True,33299,20002504.0,6,143,2022-02-25,2013-11-15,20002503,https://stackoverflow.com/questions/20002503/why-does-a-x-or-y-or-z-always-evaluate-to-true,"Why does ""a == x or y or z"" always evaluate to True?"
24,"['python', 'shell', 'terminal', 'subprocess', 'command']",True,3999355,89243.0,63,5659,2022-03-29,2008-09-18,89228,https://stackoverflow.com/questions/89228/how-do-i-execute-a-program-or-call-a-system-command,How do I execute a program or call a system command?
25,"['python', 'user-interface', 'tkinter']",True,115110,1101765.0,4,72,2021-08-14,2009-07-09,1101750,https://stackoverflow.com/questions/1101750/tkinter-attributeerror-nonetype-object-has-no-attribute-attribute-name,Tkinter: AttributeError: NoneType object has no attribute <attribute name>
26,"['python', 'sorting', 'dictionary']",True,4326784,613218.0,34,3417,2021-10-07,2009-03-05,613183,https://stackoverflow.com/questions/613183/how-do-i-sort-a-dictionary-by-value,How do I sort a dictionary by value?
27,['python'],True,2882164,231855.0,47,11979,2022-04-18,2008-10-24,231767,https://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do,"What does the ""yield"" keyword do?"
28,"['python', 'list', 'optimization', 'nested-lists', 'flatten']",True,180113,2158532.0,49,508,2022-04-24,2010-01-29,2158395,https://stackoverflow.com/questions/2158395/flatten-an-irregular-list-of-lists,Flatten an irregular list of lists
29,"['python', 'eval']",True,59420,1832957.0,8,166,2021-02-18,2009-12-02,1832940,https://stackoverflow.com/questions/1832940/why-is-using-eval-a-bad-practice,Why is using 'eval' a bad practice?
30,"['python', 'list', 'for-loop', 'iterator']",True,1000539,1663826.0,7,1122,2022-02-07,2009-11-03,1663807,https://stackoverflow.com/questions/1663807/how-to-iterate-through-two-lists-in-parallel,How to iterate through two lists in parallel?
31,"['python', 'selenium', 'web-scraping', 'webdriverwait', 'expected-condition']",True,10138,49775808.0,1,11,2019-11-19,2018-04-11,49775502,https://stackoverflow.com/questions/49775502/webdriverwait-not-working-as-expected,WebDriverWait not working as expected
32,"['python', 'pandas', 'dataframe', 'sql-function']",True,853222,19960116.0,11,705,2022-02-22,2013-11-13,19960077,https://stackoverflow.com/questions/19960077/how-to-filter-pandas-dataframe-using-in-and-not-in-like-in-sql,How to filter Pandas dataframe using 'in' and 'not in' like in SQL
33,"['python', 'string']",True,530373,1894296.0,19,761,2022-03-02,2009-12-12,1894269,https://stackoverflow.com/questions/1894269/how-to-convert-string-representation-of-list-to-a-list,How to convert string representation of list to a list?
34,"['python', 'pandas', 'dataframe']",True,5099673,16476974.0,32,3363,2022-04-08,2013-05-10,16476924,https://stackoverflow.com/questions/16476924/how-to-iterate-over-rows-in-a-dataframe-in-pandas,How to iterate over rows in a DataFrame in Pandas
35,"['python', 'pandas', 'numpy', 'dataframe']",True,669327,19913845.0,12,436,2022-03-05,2013-11-11,19913659,https://stackoverflow.com/questions/19913659/pandas-conditional-creation-of-a-series-dataframe-column,Pandas conditional creation of a series/dataframe column
36,"['python', 'image', 'tkinter', 'tkinter-canvas']",True,75706,16424553.0,4,62,2022-04-17,2013-05-07,16424091,https://stackoverflow.com/questions/16424091/why-does-tkinter-image-not-show-up-if-created-in-a-function,Why does Tkinter image not show up if created in a function?
37,"['python', 'pygame', 'collision-detection', 'pygame-surface', 'pygame2']",True,84836,,4,26,2021-07-26,2015-04-15,29640685,https://stackoverflow.com/questions/29640685/how-do-i-detect-collision-in-pygame,How do I detect collision in pygame?
38,"['python', 'class', 'oop', 'self']",True,961251,2709832.0,26,1255,2022-04-09,2010-04-25,2709821,https://stackoverflow.com/questions/2709821/what-is-the-purpose-of-the-word-self,What is the purpose of the word 'self'?
39,"['python', 'int', 'operators', 'identity', 'python-internals']",True,95621,306353.0,11,592,2021-03-18,2008-11-20,306313,https://stackoverflow.com/questions/306313/is-operator-behaves-unexpectedly-with-integers,"""is"" operator behaves unexpectedly with integers"
40,"['python', 'operators', 'conditional-operator']",True,2468330,394814.0,32,7237,2022-04-10,2008-12-27,394809,https://stackoverflow.com/questions/394809/does-python-have-a-ternary-conditional-operator,Does Python have a ternary conditional operator?
41,"['python', 'dictionary', 'merge']",True,2690280,26853961.0,48,6241,2022-04-01,2008-09-02,38987,https://stackoverflow.com/questions/38987/how-do-i-merge-two-dictionaries-in-a-single-expression-take-union-of-dictionari,How do I merge two dictionaries in a single expression (take union of dictionaries)?
42,"['python', 'class']",True,32717,1680555.0,7,167,2019-02-15,2009-11-05,1680528,https://stackoverflow.com/questions/1680528/how-to-avoid-having-class-data-shared-among-instances,How to avoid having class data shared among instances?
43,"['python', 'magic-methods', 'repr']",True,850757,2626364.0,25,3357,2022-04-01,2009-09-17,1436703,https://stackoverflow.com/questions/1436703/what-is-the-difference-between-str-and-repr,What is the difference between __str__ and __repr__?
44,"['python', 'datetime']",True,4154123,466376.0,25,2755,2022-04-11,2009-01-21,466345,https://stackoverflow.com/questions/466345/converting-string-into-datetime,Converting string into datetime
45,"['python', 'variables', 'scope']",True,81292,370363.0,12,254,2022-04-18,2008-12-16,370357,https://stackoverflow.com/questions/370357/unboundlocalerror-on-local-variable-when-reassigned-after-first-use,UnboundLocalError on local variable when reassigned after first use
46,"['python', 'exception', 'python-module', 'shadowing']",True,35211,36250354.0,4,72,2022-02-20,2016-03-27,36250353,https://stackoverflow.com/questions/36250353/importing-installed-package-from-script-raises-attributeerror-module-has-no-at,"Importing installed package from script raises ""AttributeError: module has no attribute"" or ""ImportError: cannot import name"""
47,"['python', 'list', 'loops']",True,16024,6260097.0,8,75,2022-04-07,2011-06-07,6260089,https://stackoverflow.com/questions/6260089/strange-result-when-removing-item-from-a-list-while-iterating-over-it,Strange result when removing item from a list while iterating over it
48,"['python', 'import', 'relative-path', 'python-packaging', 'relative-import']",True,407370,14132912.0,15,1298,2022-04-25,2013-01-03,14132789,https://stackoverflow.com/questions/14132789/relative-imports-for-the-billionth-time,Relative imports for the billionth time
49,['python'],True,2272919,493399.0,25,2252,2022-04-18,2009-01-29,493386,https://stackoverflow.com/questions/493386/how-to-print-without-a-newline-or-space,How to print without a newline or space
50,"['python', 'flask', 'werkzeug']",True,1427982,16664376.0,23,1095,2022-01-18,2012-05-03,10434599,https://stackoverflow.com/questions/10434599/get-the-data-received-in-a-flask-request,Get the data received in a Flask request
51,"['python', 'flask', 'static-files']",True,851727,20648053.0,24,724,2022-03-22,2013-12-18,20646822,https://stackoverflow.com/questions/20646822/how-to-serve-static-files-in-flask,How to serve static files in Flask
52,"['python', 'oop', 'metaclass', 'python-class', 'python-datamodel']",True,997936,100146.0,24,6728,2022-04-19,2008-09-19,100003,https://stackoverflow.com/questions/100003/what-are-metaclasses-in-python,What are metaclasses in Python?
53,"['python', 'pandas', 'dataframe', 'boolean', 'filtering']",True,1529428,36922103.0,12,693,2022-04-22,2016-04-28,36921951,https://stackoverflow.com/questions/36921951/truth-value-of-a-series-is-ambiguous-use-a-empty-a-bool-a-item-a-any-o,"Truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()"
54,"['python', 'python-3.x', 'dictionary', 'python-internals', 'python-3.6']",True,216789,39980744.0,5,656,2022-04-25,2016-10-11,39980323,https://stackoverflow.com/questions/39980323/are-dictionaries-ordered-in-python-3-6,Are dictionaries ordered in Python 3.6+?
55,"['python', 'pandas', 'dataframe', 'pandas-explode']",True,95946,53218939.0,16,190,2022-04-22,2018-11-09,53218931,https://stackoverflow.com/questions/53218931/how-to-unnest-explode-a-column-in-a-pandas-dataframe-into-multiple-rows,"How to unnest (explode) a column in a pandas DataFrame, into multiple rows"
56,"['python', 'multithreading', 'kill', 'terminate']",True,1028470,325528.0,29,906,2021-04-01,2008-11-27,323972,https://stackoverflow.com/questions/323972/is-there-any-way-to-kill-a-thread,Is there any way to kill a Thread?
57,"['python', 'string', 'file', 'readlines']",True,4369560,,28,2026,2022-01-24,2010-07-19,3277503,https://stackoverflow.com/questions/3277503/how-to-read-a-file-line-by-line-into-a-list,How to read a file line-by-line into a list?
58,"['python', 'function', 'recursion', 'return']",True,111959,17778390.0,4,89,2020-07-13,2013-07-22,17778372,https://stackoverflow.com/questions/17778372/why-does-my-recursive-function-return-none,Why does my recursive function return None?
59,"['python', 'list', 'duplicates', 'unique']",True,644631,480227.0,33,923,2021-12-27,2009-01-26,480214,https://stackoverflow.com/questions/480214/how-do-you-remove-duplicates-from-a-list-whilst-preserving-order,How do you remove duplicates from a list whilst preserving order?
60,"['python', 'reference', 'equality', 'semantics']",True,453268,133024.0,14,629,2022-02-04,2008-09-25,132988,https://stackoverflow.com/questions/132988/is-there-a-difference-between-and-is,"Is there a difference between ""=="" and ""is""?"
61,"['python', 'list', 'cartesian-product']",True,298647,533917.0,17,442,2021-12-12,2009-02-10,533905,https://stackoverflow.com/questions/533905/get-the-cartesian-product-of-a-series-of-lists,Get the cartesian product of a series of lists?
62,"['python', 'list', 'count']",True,2497991,2600208.0,31,1969,2022-04-25,2010-04-08,2600191,https://stackoverflow.com/questions/2600191/how-do-i-count-the-occurrences-of-a-list-item,How do I count the occurrences of a list item?
63,"['python', 'flask', 'thread-safety']",True,62582,32825482.0,4,134,2021-05-04,2015-09-28,32815451,https://stackoverflow.com/questions/32815451/are-global-variables-thread-safe-in-flask-how-do-i-share-data-between-requests,Are global variables thread-safe in Flask? How do I share data between requests?
64,"['python', 'pandas', 'dataframe', 'group-by', 'aggregate']",True,707890,39923012.0,9,345,2022-01-26,2016-10-07,39922986,https://stackoverflow.com/questions/39922986/how-do-i-pandas-group-by-to-get-sum,How do I Pandas group-by to get sum?
65,"['python', 'oop', 'naming-conventions', 'identifier']",True,583507,1301369.0,17,1619,2022-03-28,2009-08-19,1301346,https://stackoverflow.com/questions/1301346/what-is-the-meaning-of-single-and-double-underscore-before-an-object-name,What is the meaning of single and double underscore before an object name?
66,"['python', 'list', 'list-comprehension']",True,10397,34835952.0,5,67,2022-01-27,2016-01-17,34835951,https://stackoverflow.com/questions/34835951/what-does-list-comprehension-and-similar-mean-how-does-it-work-and-how-can-i,"What does ""list comprehension"" and similar mean? How does it work and how can I use it?"
67,"['python', 'selenium', 'selenium-webdriver', 'webdriver', 'nosuchelementexception']",True,10135,47995294.0,1,15,2020-03-02,2017-12-27,47993443,https://stackoverflow.com/questions/47993443/selenium-selenium-common-exceptions-nosuchelementexception-when-using-chrome,"Selenium ""selenium.common.exceptions.NoSuchElementException"" when using Chrome"
68,"['python', 'sorting']",True,123263,18415320.0,22,364,2022-03-09,2011-01-29,4836710,https://stackoverflow.com/questions/4836710/is-there-a-built-in-function-for-string-natural-sort,Is there a built in function for string natural sort?
69,"['python', 'decorator', 'python-decorators']",True,601080,739665.0,18,3016,2022-04-01,2009-04-11,739654,https://stackoverflow.com/questions/739654/how-to-make-function-decorators-and-chain-them-together,How to make function decorators and chain them together?
70,"['python', 'windows', 'installation', 'pip', 'easy-install']",True,3213952,12476379.0,40,2681,2021-02-18,2011-01-20,4750806,https://stackoverflow.com/questions/4750806/how-can-i-install-pip-on-windows,How can I install pip on Windows?
71,"['python', 'python-import', 'python-module']",True,1233075,67692.0,35,1536,2022-04-09,2008-09-16,67631,https://stackoverflow.com/questions/67631/how-do-i-import-a-module-given-the-full-path,How do I import a module given the full path?
72,"['python', 'lambda', 'closures']",True,65567,2295368.0,7,326,2022-01-21,2010-02-19,2295290,https://stackoverflow.com/questions/2295290/what-do-lambda-function-closures-capture,What do lambda function closures capture?
73,"['python', 'algorithm', 'list', 'duplicates', 'intersection']",True,1930949,7961390.0,57,1289,2022-04-09,2011-11-01,7961363,https://stackoverflow.com/questions/7961363/removing-duplicates-in-lists,Removing duplicates in lists
74,"['python', 'importerror', 'python-import']",True,2509509,,34,2087,2022-04-09,2010-12-08,4383571,https://stackoverflow.com/questions/4383571/importing-files-from-different-folder,Importing files from different folder
75,"['javascript', 'python', 'web-scraping', 'python-2.x']",True,393722,,18,248,2022-03-20,2011-11-08,8049520,https://stackoverflow.com/questions/8049520/web-scraping-javascript-page-with-python,Web-scraping JavaScript page with Python
76,"['python', 'pandas']",True,186142,28654127.0,5,206,2021-11-01,2015-02-22,28654047,https://stackoverflow.com/questions/28654047/convert-columns-into-rows-with-pandas,Convert columns into rows with Pandas
77,"['python', 'global-variables', 'side-effects']",True,101504,19158418.0,4,155,2020-05-31,2013-10-03,19158339,https://stackoverflow.com/questions/19158339/why-are-global-variables-evil,Why are global variables evil?
78,"['python', 'pandas', 'max', 'pandas-groupby']",True,467599,15705958.0,13,380,2022-04-16,2013-03-29,15705630,https://stackoverflow.com/questions/15705630/get-the-rows-which-have-the-max-value-in-groups-using-groupby,Get the row(s) which have the max value in groups using groupby
79,"['python', 'combinations']",True,1044699,464882.0,29,602,2022-02-08,2009-01-21,464864,https://stackoverflow.com/questions/464864/how-to-get-all-possible-combinations-of-a-list-s-elements,How to get all possible combinations of a list’s elements?
80,"['python', 'regex']",True,5643,31915155.0,3,29,2021-01-23,2015-08-10,31915018,https://stackoverflow.com/questions/31915018/re-findall-behaves-weird,re.findall behaves weird
81,"['python', 'performance', 'optimization', 'time-complexity', 'profiling']",True,699334,582337.0,31,1541,2022-04-09,2009-02-24,582336,https://stackoverflow.com/questions/582336/how-do-i-profile-a-python-script,How do I profile a Python script?
82,"['python', 'python-2.7', 'input', 'nameerror']",True,851566,,17,260,2022-03-10,2014-01-14,21122540,https://stackoverflow.com/questions/21122540/input-error-nameerror-name-is-not-defined,input() error - NameError: name '...' is not defined
83,"['python', 'directory']",True,6675153,,21,3467,2022-04-19,2010-07-08,3207219,https://stackoverflow.com/questions/3207219/how-do-i-list-all-files-of-a-directory,How do I list all files of a directory?
84,"['python', 'dictionary']",True,5147029,3294899.0,15,3863,2022-04-01,2010-07-21,3294889,https://stackoverflow.com/questions/3294889/iterating-over-dictionaries-using-for-loops,Iterating over dictionaries using 'for' loops
85,"['python', 'module', 'package', 'python-packaging']",True,1788661,448279.0,13,3162,2022-04-04,2009-01-15,448271,https://stackoverflow.com/questions/448271/what-is-init-py-for,What is __init__.py for?
86,"['python', 'scope', 'closures', 'global-variables']",True,250471,9264845.0,8,200,2020-03-09,2012-02-13,9264763,https://stackoverflow.com/questions/9264763/dont-understand-why-unboundlocalerror-occurs-closure,Don't understand why UnboundLocalError occurs (closure)
87,"['python', 'algorithm', 'permutation', 'combinatorics', 'python-2.5']",True,900693,104436.0,40,767,2022-04-03,2008-09-19,104420,https://stackoverflow.com/questions/104420/how-to-generate-all-permutations-of-a-list,How to generate all permutations of a list?
88,"['python', 'windows', 'environment-variables', 'pythonpath']",True,1690249,4855685.0,22,433,2022-01-19,2010-09-13,3701646,https://stackoverflow.com/questions/3701646/how-to-add-to-the-pythonpath-in-windows-so-it-finds-my-modules-packages,"How to add to the PYTHONPATH in Windows, so it finds my modules/packages?"
89,"['python', 'python-3.x', 'tkinter', 'frame']",True,205924,7557028.0,4,114,2022-04-21,2011-09-25,7546050,https://stackoverflow.com/questions/7546050/switch-between-two-frames-in-tkinter,Switch between two frames in tkinter?
90,"['python', 'file', 'append']",True,1908824,4706520.0,13,1885,2021-11-04,2011-01-16,4706499,https://stackoverflow.com/questions/4706499/how-do-you-append-to-a-file,How do you append to a file?
91,"['python', 'sql']",True,370541,902417.0,5,115,2021-10-21,2009-05-23,902408,https://stackoverflow.com/questions/902408/how-to-use-variables-in-sql-statement-in-python,How to use variables in SQL statement in Python?
92,"['python', 'python-3.x']",True,259934,826957.0,3,272,2019-11-29,2009-05-06,826948,https://stackoverflow.com/questions/826948/syntax-error-on-print-with-python-3,Syntax error on print with Python 3
93,"['python', 'subprocess']",True,240039,3172488.0,7,350,2021-10-26,2010-07-03,3172470,https://stackoverflow.com/questions/3172470/actual-meaning-of-shell-true-in-subprocess,Actual meaning of 'shell=True' in subprocess
94,"['python', 'dictionary', 'set', 'python-internals']",True,19931,15479974.0,5,161,2020-04-26,2013-03-18,15479928,https://stackoverflow.com/questions/15479928/why-is-the-order-in-dictionaries-and-sets-arbitrary,Why is the order in dictionaries and sets arbitrary?
95,"['python', 'regex', 'search', 'match']",True,370481,180993.0,8,626,2022-02-23,2008-10-08,180986,https://stackoverflow.com/questions/180986/what-is-the-difference-between-re-search-and-re-match,What is the difference between re.search and re.match?
96,"['python', 'list', 'append', 'nonetype']",True,89732,16641831.0,5,84,2022-03-16,2013-05-20,16641119,https://stackoverflow.com/questions/16641119/why-does-append-always-return-none-in-python,Why does append() always return None in Python?
97,"['python', 'list', 'loops', 'optimization', 'chunks']",True,196649,434411.0,38,606,2021-12-02,2009-01-12,434287,https://stackoverflow.com/questions/434287/what-is-the-most-pythonic-way-to-iterate-over-a-list-in-chunks,"What is the most ""pythonic"" way to iterate over a list in chunks?"
98,"['python', 'object']",True,945862,3071.0,18,2201,2022-01-06,2008-08-06,3061,https://stackoverflow.com/questions/3061/calling-a-function-of-a-module-by-using-its-name-a-string,Calling a function of a module by using its name (a string)
99,"['python', 'string', 'comparison', 'identity', 'equality']",True,1623455,1504742.0,15,1267,2022-04-09,2009-10-01,1504717,https://stackoverflow.com/questions/1504717/why-does-comparing-strings-using-either-or-is-sometimes-produce-a-differe,Why does comparing strings using either '==' or 'is' sometimes produce a different result?
